title,summary,source,date,cleaned_title,cleaned_summary
Company debuts building material that could revolutionize construction industry: 'One step closer to high-performance materials',"""On a scale that really matters."" Company debuts building material that could revolutionize construction industry: 'One step closer to high-performance materials' first appeared on The Cool Down.",The Cool Down,2025-05-10T11:45:00+00:00,company debut building material could revolutionize construction industry one step closer highperformance material,scale really matter company debut building material could revolutionize construction industry one step closer highperformance material first appeared cool
Beyond Steel: 8 Lightweight Building Materials Revolutionizing Construction,"When it comes to building strong structures, steel and concrete have always been the go-to materials. But what if you could achieve the same strength and durabi",BDC Magazine,2025-05-06T08:57:00+00:00,beyond steel lightweight building material revolutionizing construction,come building strong structure steel concrete always goto material could achieve strength durabi
Engineers make groundbreaking discovery in cement that could revolutionize the construction industry: 'Leap forward',The industry faces pressing issues that must be addressed. Engineers make groundbreaking discovery in cement that could revolutionize the construction industry: 'Leap forward' first appeared on The Cool Down.,The Cool Down,2025-05-12T09:00:00+00:00,engineer make groundbreaking discovery cement could revolutionize construction industry leap forward,industry face pressing issue must addressed engineer make groundbreaking discovery cement could revolutionize construction industry leap forward first appeared cool
Engineers invented an ultra-hard concrete alternative made of fungus and bacteria,A new fungi-based concrete alternative could finally give the construction industry the game-changing material it has been searching for.,BGR,2025-04-27T19:10:00+00:00,engineer invented ultrahard concrete alternative made fungus bacteria,new fungibased concrete alternative could finally give construction industry gamechanging material searching
How the ABT housing programme is transforming South Africa's housing landscape,"The Alternative Building Technology (ABT) housing programme aims to accelerate the construction of affordable, weather-resistant homes in South Africa, addressing the housing backlog and providing quick shelter solutions during disasters.",IOL,2025-05-13T12:56:09+00:00,abt housing programme transforming south africa housing landscape,alternative building technology abt housing programme aim accelerate construction affordable weatherresistant home south africa addressing housing backlog providing quick shelter solution disaster
Fungi could be used to build homes one day. Meet the researchers trying to make it possible,"Researchers in Montana say they have found a way to turn fungus into a brick, which could eventually offer a more sustainable cement alternative.",CNN,2025-04-30T15:54:33+00:00,fungi could used build home one day meet researcher trying make possible,researcher montana say found way turn fungus brick could eventually offer sustainable cement alternative
Iron-fortified lumber could be a greener alternative to steel beams,"Although lumber does show promise as a renewable alternative to structural materials such as steel and concrete, it still tends to be a bit weaker than those substances. Scientists have now set ...",New Atlas,2025-04-29T16:27:00+00:00,ironfortified lumber could greener alternative steel beam,although lumber show promise renewable alternative structural material steel concrete still tends bit weaker substance scientist set
"Recycled Concrete Aggregates Market Size, Trends & Growth Report By 2023","Introduction Recycled Concrete Aggregates (RCA) are produced by processing debris from demolished concrete structures like roads, bridges, and",MENAFN,2025-05-13T11:20:00+00:00,recycled concrete aggregate market size trend growth report,introduction recycled concrete aggregate rca produced processing debris demolished concrete structure like road bridge
Fungus-based material could offer a sustainable concrete alternative,"It's a difficult problem to solve, because doing so will require us to find eco-friendly materials that are as ... and suitable for a range of construction projects.",New Atlas,2025-04-21T00:00:00+00:00,fungusbased material could offer sustainable concrete alternative,difficult problem solve require find ecofriendly material suitable range construction project
Living fungus-based building material repairs itself for over a month,Their results show that this material -- which is manufactured with living cells at low temperatures -- is capable of self-repairing and could eventually offer a sustainable alternative for high ...,Science Daily,2025-04-16T00:00:00+00:00,living fungusbased building material repair month,result show material manufactured living cell low temperature capable selfrepairing could eventually offer sustainable alternative high
CHARACTERIZATION AND DEVELOPMENT OF ECO-FRIENDLY CONCRETE USING INDUSTRIAL WASTE - A REVIEW,"Advances in solid waste management resulted in alternative construction materials as a substitute to traditional materials like bricks, blocks, tiles, aggregates, ceramics, cement, lime, soil, timber and paint. To safeguard the environment, efforts are ...",JSTOR Daily,2024-09-05T05:24:00+00:00,characterization development ecofriendly concrete using industrial waste review,advance solid waste management resulted alternative construction material substitute traditional material like brick block tile aggregate ceramic cement lime soil timber paint safeguard environment effort
NTU Singapore scientists create 'fungi tiles' with elephant skin texture to cool buildings,"The scientists also expect high inertia towards using mycelium tiles as an alternative construction ... Case Studies in Construction Materials, Volume 20, July 2024, e02786",EurekAlert!,2025-04-02T13:41:00+00:00,ntu singapore scientist create fungi tile elephant skin texture cool building,scientist also expect high inertia towards using mycelium tile alternative construction case study construction material volume july
Quality Management for Alternative Delivery Methods,"The TCM members developed a research statement for advanced quality systems, and with the support of the AASHTO Subcommittee on Construction, The National Cooperative Highway Research program initiated NCHRP Project 10-83 - ""Alternative Quality Management ...",CU Boulder News & Events,2018-01-19T03:51:00+00:00,quality management alternative delivery method,tcm member developed research statement advanced quality system support aashto subcommittee construction national cooperative highway research program initiated nchrp project alternative quality management
"Colorado economists warn of rising home prices, job losses as tariffs hit construction materials","Paired with tariffs on other construction materials, including lumber, the National Association of Home Builders estimates it will soon cost roughly $9,200 more to build a single-family home ...",Summit County,2025-04-21T00:00:00+00:00,colorado economist warn rising home price job loss tariff hit construction material,paired tariff construction material including lumber national association home builder estimate soon cost roughly build singlefamily home
RIBA Yorkshire Small and Emerging Practice Group: AlterNATIVE Constuction - Air Quality,"AlterNATIVE Construction in Harrogate. Sally Walker, founder of Native Architects, brings a wealth of experience and a deep commitment to sustainable and responsible architecture. Her practice is guided by strong environmental values, with a focus on ...",RIBA,2025-04-15T14:25:00+00:00,riba yorkshire small emerging practice group alternative constuction air quality,alternative construction harrogate sally walker founder native architect brings wealth experience deep commitment sustainable responsible architecture practice guided strong environmental value focus
"Transformative $40 Million Soil Remediation Facility Launches in Philadelphia, Redefining Construction Waste Recovery","Alterra IOS, Eco Materials deliver state-of-the-art wash plant in South Philadelphia to process and repurpose over 750,000 tons of construction soil and waste annually; Facility p",The Manila Times,2025-05-02T16:41:00+00:00,transformative million soil remediation facility launch philadelphia redefining construction waste recovery,alterra io eco material deliver stateoftheart wash plant south philadelphia process repurpose ton construction soil waste annually facility
Carbon-Negative Construction Materials Harnessing Seawater and CO2 Offer a Sustainable Path Forward,"Cement, concrete, paint, and plasters are customarily composed of or derived from calcium and magnesium based minerals, which are often sourced from aggregates what we call sand,"" Northwestern University senior researcher Dr.",Modern Engineering Marvels,2025-03-26T06:48:29+00:00,carbonnegative construction material harnessing seawater offer sustainable path forward,cement concrete paint plaster customarily composed derived calcium magnesium based mineral often sourced aggregate call sand northwestern university senior researcher
