title,link,source,date
"New, 'Living' Building Material Made From Fungi and Bacteria Could Pave the Way to Self-Healing Structures",https://www.msn.com/en-us/news/technology/new-living-building-material-made-from-fungi-and-bacteria-could-pave-the-way-to-self-healing-structures/ar-AA1DxBDH,Smithsonian Magazine,2025-04-24T14:48:28+00:00
Fungus-based material could offer a sustainable concrete alternative,https://newatlas.com/materials/fungus-material-sustainable-concrete-alternative/,New Atlas,2025-04-21T15:07:00+00:00
Engineers invented an ultra-hard concrete alternative made of fungus and bacteria,https://bgr.com/science/engineers-invented-an-ultra-hard-concrete-alternative-made-of-fungus-and-bacteria/,BGR,2025-04-27T19:10:00+00:00
This Living Building Material Forms Bone-Like Structures and Could One Day Repair Itself,https://singularityhub.com/2025/04/18/this-living-building-material-forms-bone-like-structures-and-could-one-day-repair-itself/,Singularity Hub,2025-04-18T00:00:00+00:00
Iron-fortified lumber could be a greener alternative to steel beams,https://newatlas.com/materials/iron-fortified-wood/,New Atlas,2025-04-29T16:27:00+00:00
NTU Singapore scientists create 'fungi tiles' with elephant skin texture to cool buildings,https://www.eurekalert.org/news-releases/1079105,EurekAlert!,2025-04-02T13:41:00+00:00
Natural Building Materials S M L,https://www.detail.de/de_en/catalog/product/view/_ignore_category/1/id/55069/s/naturbaustoffe/,Detail,2025-02-26T18:37:00+00:00
wood alternative,https://www.fastcompany.com/section/wood-alternative,Fast Company,2024-02-02T14:22:00+00:00
Sustainable building materials company launches fire-retardant plywood,https://www.woodworkingnetwork.com/news/woodworking-industry-news/sustainable-building-materials-company-launches-fire-retardant,Woodworking Network,2025-04-23T09:05:00+00:00
Council considering construction debris recycling site,https://www.lagrangenews.com/2025/05/01/council-considering-construction-debris-recycling-site/,LaGrange Daily News,2025-05-01T13:00:00+00:00
Adaptavate raises funds to advance low-carbon construction technology,https://www.msn.com/en-us/money/savingandinvesting/adaptavate-raises-funds-to-advance-low-carbon-construction-technology/ar-AA1DzkOq,World Construction Network,2025-04-24T15:52:37+00:00
"Why stone wool insulation offers alternative for home construction, remodels",https://www.msn.com/en-us/money/news/why-stone-wool-insulation-offers-alternative-for-home-construction-remodels/ar-AA1qZ0RI,The Columbus Dispatch,2024-09-22T09:22:00+00:00
The Role of Biochar in Sustainable Construction,https://www.msn.com/en-gb/money/technology/the-role-of-biochar-in-sustainable-construction/ar-AA1o2apI,AZoBuild,2024-05-02T12:05:00+00:00
Engineered Biomaterial with Living Cells Offers Sustainable Construction Potential,https://www.msn.com/en-gb/science/biology/engineered-biomaterial-with-living-cells-offers-sustainable-construction-potential/ar-AA1D6uY5,MSN,2025-04-17T12:45:00+00:00
