headline,summary,source,date,topic
Living fungus-based building material repairs itself for over a month,Engineers have developed a building material that uses the root-like mycelium of a fungus and bacteria cells. Their results show that this material -- which is manufactured with living cells at low temperatures -- is capable of self-repairing and could eventu…,Science Daily,2025-04-16 17:53:52,alternative construction materials
"If not wood, what? If not here, where?",The increasing political divide is weaving itself into how to best sustain public forests and maximize their contribution to society. Recent calls to...,Newhampshirebulletin.com,2025-04-14 08:55:12,alternative construction materials
Fungus-based material could offer a sustainable concrete alternative,"Among the many things we could do to reduce strain on the environment is find greener ways of constructing buildings. You see, cement production accounts for 8% of CO2 emissions worldwide – and a lot of that goes towards making concrete.Continue ReadingCatego…",New Atlas,2025-04-21 15:08:53,alternative construction materials
Top 10 Homes Designed To Be Sustainable Retreats For Off-Grid Living,"Top 10 Homes Designed To Be Sustainable Retreats For Off-Grid LivingIn recent years, the allure of off-grid living has captivated many seeking a lifestyle that embraces sustainability, independence, and a closer connection to nature. Whether...",Yanko Design,2025-04-17 11:40:05,alternative construction materials
Tiny Homes: Simple Shelter by Lloyd Kahn,"Tiny Homes: Simple Shelter is a visually rich book that explores the tiny house movement through real-life examples of small, handcrafted homes. Lloyd Kahn, known for his work in sustainable and alternative housing, showcases a variety of tiny dwellings, from…",Tinyhouseblog.com,2025-04-09 10:00:00,alternative construction materials
'Wood you believe it?' Engineers fortify wood with eco-friendly nano-iron,"With more than 181.5 billion tons of wood produced globally each year, a new method could revolutionize how we build sustainably. By infusing red oak with ferrihydrite using a simple, low-cost process, researchers strengthened the wood at the cellular level w…",Science Daily,2025-04-29 02:17:05,alternative construction materials
Supply Chains In Chaos? These 5 Startups Turn Waste Into Opportunity,"In a world where trade wars and tariffs have thrown global supply chains into disarray, a silver lining has emerged: the rise of circular economy startups.",Forbes,2025-04-10 15:48:37,alternative construction materials
Minerals Supporting Sustainability: Why Ethical Investing Matters,"For investors, it's important to understand not only how metals and minerals are used—but also the drawbacks and ethical considerations of mining for these resources.",Forbes,2025-04-16 13:45:00,alternative construction materials
Corgan launches free mass timber carbon calculator,"Texas-based architecture studio Corgan has unveiled a new tool aimed at improving the accuracy of carbon accounting in mass timber construction. Developed by Corgan’s sustainability division, Echo, alongside its research group, Hugo, the Corgan Mass Timber Ca…",Archinect,2025-04-08 18:48:00,alternative construction materials
"Sustainable Construction Materials Market Report 2025-2034: Bamboo Emerges as $214.3 Billion Star in Sustainable Construction as Builders Seek Fast-Growing, Low-Carbon Alternatives",From Hempcrete to High-Tech Insulation: Global Construction Industry Accelerates Shift Toward Eco-Friendly Materials From Hempcrete to High-Tech Insulation: Global Construction Industry Accelerates Shift Toward Eco-Friendly Materials,GlobeNewswire,2025-05-01 16:04:00,alternative construction materials
How Insulated Metal Roofing Improves Energy Efficiency In Commercial Buildings,Building owners and developers consider commercial construction energy efficiency as a top priority because they seek sustainable solutions for long-term cost reduction. Improved energy efficiency in commercial buildings depends mainly on installing insulated…,Bitrebels.com,2025-04-09 15:00:00,alternative construction materials
"IIT-Guwahati develops bamboo-based composites for constructing  bunkers, defence shelters","NEW DELHI, April 13: Researchers at the Indian Institute of Technology (IIT), Guwahati have developed bamboo-based composite materials that can potentially replace conventional wood, iron and other metal components in the construction of bunkers and defence s…",Thehillstimes.in,2025-04-13 23:15:00,alternative construction materials
Wood Bio-Products Market Forecast to Reach $430 Billion by 2029: Analysis of the Global Industry,"Leading Companies Concentrating on the Development of Advanced Lignin-Based Materials to Reduce Ecological Impact, Decrease Waste, and Satisfy the Growing Demand for Sustainable Packaging Solutions Leading Companies Concentrating on the Development of Advance…",GlobeNewswire,2025-04-25 08:15:00,alternative construction materials
Sustainable Fold-Up Bags - The Paravel Fold-Up Bag is Made of Recycled Bottles (TrendHunter.com),(TrendHunter.com) The 'Paravel Fold-Up Bag' exemplifies sustainable design in travel and everyday convenience by utilizing recycled materials in its construction. Each bag is crafted from the equivalent of 22...,Cleanthesky.com,2025-04-26 04:46:07,alternative construction materials
Wood-Plastic Composites Technologies and Global Market Report 2025: Government Regulations Drive Traditional Composite Producers to Enter WPC Market,"As an eco-friendly alternative, WPCs gain traction due to strict environmental regulations. Increased green infrastructure and furniture demand propel market growth. As an eco-friendly alternative, WPCs gain traction due to strict environmental regulations. I…",GlobeNewswire,2025-04-24 12:18:00,alternative construction materials
Cement Market Global Market Report 2025: Asia Pacific Dominates Cement Production Amid Urbanization Surge,"Blended cement leads in type due to its sustainability benefits, while non-residential construction dominates applications. Key trends include green cement adoption, AI-driven production, and automation. However, CO₂ emissions and energy costs remain major ch…",GlobeNewswire,2025-04-09 15:13:00,alternative construction materials
Biobased Insulation Market Report 2025-2035: Emerging Bio-Aerogels & Carbon-Negative Insulation Set to Transform Green Building Sector,"The global biobased insulation market is thriving as sustainability is prioritized in construction. Key drivers include stringent environmental regulations, rising energy costs, and heightened consumer awareness. Wood-based materials, such as wood fiber board…",GlobeNewswire,2025-04-17 08:20:00,alternative construction materials
