Company debuts building material that could revolutionize construction industry: 'One step closer to high-performance materials',"""On a scale that really matters."" Company debuts building material that could revolutionize construction industry: 'One step closer to high-performance materials' first appeared on The Cool Down.",The Cool Down,2025-05-10T11:45:00+00:00
Engineers make groundbreaking discovery in cement that could revolutionize the construction industry: 'Leap forward',The industry faces pressing issues that must be addressed. Engineers make groundbreaking discovery in cement that could revolutionize the construction industry: 'Leap forward' first appeared on The Cool Down.,The Cool Down,2025-05-12T09:00:00+00:00
Beyond Steel: 8 Lightweight Building Materials Revolutionizing Construction,"When it comes to building strong structures, steel and concrete have always been the go-to materials. But what if you could achieve the same strength and durabi",BDC Magazine,2025-05-06T08:57:00+00:00
Engineers invented an ultra-hard concrete alternative made of fungus and bacteria,A new fungi-based concrete alternative could finally give the construction industry the game-changing material it has been searching for.,BGR,2025-04-27T19:10:00+00:00
Fungi could be used to build homes one day. Meet the researchers trying to make it possible,"Researchers in Montana say they have found a way to turn fungus into a brick, which could eventually offer a more sustainable cement alternative.",CNN,2025-04-30T15:54:33+00:00
Iron-fortified lumber could be a greener alternative to steel beams,"Although lumber does show promise as a renewable alternative to structural materials such as steel and concrete, it still tends to be a bit weaker than those substances. Scientists have now set ...",New Atlas,2025-04-29T16:27:00+00:00
Fungus-based material could offer a sustainable concrete alternative,"It's a difficult problem to solve, because doing so will require us to find eco-friendly materials that are as ... and suitable for a range of construction projects.",New Atlas,2025-04-21T00:00:00+00:00
Living fungus-based building material repairs itself for over a month,Their results show that this material -- which is manufactured with living cells at low temperatures -- is capable of self-repairing and could eventually offer a sustainable alternative for high ...,Science Daily,2025-04-16T00:00:00+00:00
CHARACTERIZATION AND DEVELOPMENT OF ECO-FRIENDLY CONCRETE USING INDUSTRIAL WASTE - A REVIEW,"Advances in solid waste management resulted in alternative construction materials as a substitute to traditional materials like bricks, blocks, tiles, aggregates, ceramics, cement, lime, soil, timber and paint. To safeguard the environment, efforts are ...",JSTOR Daily,2024-09-05T05:24:00+00:00
"Magnesium Oxide Panels: A Durable, Fire-Resistant Alternative for Modern Construction","Magnesium Oxide (MgO) panels are revolutionizing the construction industry by offering superior fire resistance, exceptional durability, and resistance to moisture, mold, and pests. As an alternative to traditional materials like OSB, plywood, gypsum ...",Architectural Record,2025-04-11T10:48:00+00:00
NTU Singapore scientists create 'fungi tiles' with elephant skin texture to cool buildings,"The scientists also expect high inertia towards using mycelium tiles as an alternative construction ... Case Studies in Construction Materials, Volume 20, July 2024, e02786",EurekAlert!,2025-04-02T13:41:00+00:00
Quality Management for Alternative Delivery Methods,"The TCM members developed a research statement for advanced quality systems, and with the support of the AASHTO Subcommittee on Construction, The National Cooperative Highway Research program initiated NCHRP Project 10-83 - ""Alternative Quality Management ...",CU Boulder News & Events,2018-01-19T03:51:00+00:00
"Colorado economists warn of rising home prices, job losses as tariffs hit construction materials","Paired with tariffs on other construction materials, including lumber, the National Association of Home Builders estimates it will soon cost roughly $9,200 more to build a single-family home ...",Summit County,2025-04-21T00:00:00+00:00
RIBA Yorkshire Small and Emerging Practice Group: AlterNATIVE Constuction - Air Quality,"AlterNATIVE Construction in Harrogate. Sally Walker, founder of Native Architects, brings a wealth of experience and a deep commitment to sustainable and responsible architecture. Her practice is guided by strong environmental values, with a focus on ...",RIBA,2025-04-15T14:25:00+00:00
"Transformative $40 Million Soil Remediation Facility Launches in Philadelphia, Redefining Construction Waste Recovery","Alterra IOS, Eco Materials deliver state-of-the-art wash plant in South Philadelphia to process and repurpose over 750,000 tons of construction soil and waste annually; Facility p",The Manila Times,2025-05-02T16:41:00+00:00
Carbon-Negative Construction Materials Harnessing Seawater and CO2 Offer a Sustainable Path Forward,"Cement, concrete, paint, and plasters are customarily composed of or derived from calcium and magnesium based minerals, which are often sourced from aggregates what we call sand,"" Northwestern University senior researcher Dr.",Modern Engineering Marvels,2025-03-26T06:48:29+00:00
TômTex and Modern Meadow Dive Into the Future of Alternative Materials,"which requires a sequence of fewer processes than spun or woven alternative materials, McBee said its supply chain is fairly transparent. That provides it an advantage when speaking to clients-but ...",MSN,2025-04-01T21:12:00+00:00
Sustainable Construction: The United States and Global Trends Decrypted by the 3rd Edition of the Saint-Gobain Barometer,"In addition, US respondents see building energy efficiency as most connected to sustainable construction, with 72% of respondents associating the concepts. This is a drop of 11% compared to 2024, when it was 83%. Like in 2024, making sustainable materials ...",CSR Wire,2025-04-29T00:00:00+00:00
NASA reveals Earth's 'twin' planet is more active than we thought,"NASA researchers have discovered evidence of tectonic activity on Venus by re-examining decades-old radar data. The findings suggest that Venus's surface is fragmented into crustal blocks that shift and rotate,",The Times of India,2025-05-12T08:16:00+00:00
How the US can mine its own critical minerals − all without digging new holes,Rare earth elements are tiny yet essential parts of many of the technologies you use every day. New techniques are making their recovery from US sources increasingly viable.,ZME Science,2025-05-12T11:49:34+00:00
"What's an 'omega block,' and why is it messing with US weather right now?","A strange atmospheric pattern known as an ""omega block"" is preventing the usual eastward progression of weather across the U.S. — but what is this weird block, and when will it go away?",Live Science,2025-05-08T13:47:33+00:00
Earth's 'twin' is not dead but very much 'alive'; NASA's latest discovery explained,"In a breakthrough that could change how we see our ""twin"" planet, NASA has discovered that Venus may not be the hot, dead world we thought it was. Instead, its surface could be alive with movement, with chunks of crust slowly shifting and reshaping the planet,",The Economic Times,2025-05-11T12:01:58+00:00
"Ancient high-tech machines were used to build Egypt's pyramids, study claims","King Djoser of Egypt ordered his chief architect, Imhotep, to design a tomb like no other - The Step Pyramid of Djoser.",Earth.com,2025-05-11T15:32:00+00:00
The Building Blocks of Life May Have Come From Outer Space,"New research is shedding light on how such compounds might have formed and found their way to Earth. Fred Ciesla ... and nucleobases—the building blocks of proteins, cell membranes and RNA ...",Smithsonian Magazine,2025-04-16T18:45:00+00:00
Earth's water may not have originated from asteroids after all,"""What is new is that researchers have found the location of hydrogen in enstatite chondrites, the likely building blocks of the Earth,"" said Yves Marrocchi, a cosmochemist at the French ...",The Washington Post,2025-04-16T00:00:00+00:00
Stanley Miller's Experiment: Sparking the Building Blocks of Life,"In 1953, scientist Stanley Miller performed an experiment that may explain what occurred on primitive Earth billions of years ... they import the possible building blocks of life, not necessarily ...",PBS,2025-05-10T10:49:00+00:00
Space rocks carrying life's building blocks collide with UI research,Recent papers published in Nature and Nature Astronomy found life's building blocks on a near-Earth asteroid named Bennu.,The Daily Illini,2025-05-07T21:24:00+00:00
Origins of Water on Earth May Not Have Started with an Asteroid Impact,"Did the chemical components necessary to create water on Earth come from space or already exist here? One prevailing notion holds that asteroids containing either water of its building blocks bombarded the planet. But now, a team of researchers have ...",Discover Magazine,2025-04-15T20:01:00+00:00
"DNA-like molecule that could survive in Venus's harsh clouds, study finds","For a long time, Venus has been considered too hostile for life as we know it. Its thick clouds are filled with droplets of sulfuric acid, chlorine, iron, and other harsh chemicals—an environment that seemed impossible for organic molecules to survive.",Knowridge Science Report,2025-05-09T15:00:00+00:00
Origin of life twist: New study challenges longstanding hypothesis on how first sugars formed,"The prebiotic Earth was a harsh and unstable environment, characterized by intense heat, active volcanoes and little atmosphere. How, then, did the molecular building blocks of life first form? Among chemists,",Phys.org,2025-04-30T13:41:04+00:00
Spacecraft captures rare photo of a remnant from our solar system's formation,"NASA's Lucy spacecraft captures asteroid Donaldjohanson, marking a new step in its mission to explore the solar system's ancient past.",Earth.com,2025-04-29T21:48:00+00:00
China has a powerful card to play in its fight against Trump's trade war,"Touring its exhibition hall in 2019, Xi examined row upon row of unremarkable gray metal blocks and declared to ... China accounts for 61% of global mined rare earth production, but its control ...",CNN,2025-04-16T01:51:00+00:00
Scientists find evidence that challenges theories of the origin of water on Earth,"More information: Thomas J. Barrett et al,The source of hydrogen in earth's building blocks, Icarus (2025). DOI: 10.1016/j.icarus.2025.116588",Phys.org,2025-04-15T00:00:00+00:00
"Earth is headed toward several catastrophic climate 'tipping points,' study warns","Scientists assessed the risk of ""tipping"" in 16 different parts of the Earth system - ranging from the collapse of major ice sheets to the ""dieback"" of tropical coral reefs and vast forests.",USA Today,2025-04-23T00:00:00+00:00
